Item,Element,Y2011
Sunflowerseed Oil,Feed,
Sunflowerseed Oil,Waste,8
Sunflowerseed Oil,Processing,10
Sunflowerseed Oil,Other uses,2788
Sunflowerseed Oil,Food,9453
Sunflowerseed Oil,Food supply quantity (kg/capita/yr),1.38
Sunflowerseed Oil,Food supply (kcal/capita/day),33
Sunflowerseed Oil,Protein supply quantity (g/capita/day),0
Sunflowerseed Oil,Fat supply quantity (g/capita/day),3.77
Rape and Mustard Oil,Production,23264
Rape and Mustard Oil,Import Quantity,6682
Rape and Mustard Oil,Stock Variation,-126
Rape and Mustard Oil,Export Quantity,6844
Rape and Mustard Oil,Domestic supply quantity,22976
Rape and Mustard Oil,Feed,750
Rape and Mustard Oil,Waste,4
Rape and Mustard Oil,Processing,11
Rape and Mustard Oil,Other uses,12008
Rape and Mustard Oil,Food,10238
Rape and Mustard Oil,Food supply quantity (kg/capita/yr),1.5
Rape and Mustard Oil,Food supply (kcal/capita/day),36
Rape and Mustard Oil,Protein supply quantity (g/capita/day),0
Rape and Mustard Oil,Fat supply quantity (g/capita/day),4.05
Cottonseed Oil,Production,5146
Cottonseed Oil,Import Quantity,200
Cottonseed Oil,Stock Variation,-30
Cottonseed Oil,Export Quantity,214
Cottonseed Oil,Domestic supply quantity,5101
Cottonseed Oil,Feed,
Cottonseed Oil,Waste,6
Cottonseed Oil,Processing,0
Cottonseed Oil,Other uses,1227
Cottonseed Oil,Food,3870
Cottonseed Oil,Food supply quantity (kg/capita/yr),0.57
Cottonseed Oil,Food supply (kcal/capita/day),14
Cottonseed Oil,Protein supply quantity (g/capita/day),0
Cottonseed Oil,Fat supply quantity (g/capita/day),1.53
Palmkernel Oil,Production,5944
Palmkernel Oil,Import Quantity,2972
Palmkernel Oil,Stock Variation,-123
Palmkernel Oil,Export Quantity,2699
Palmkernel Oil,Domestic supply quantity,6094
Palmkernel Oil,Feed,
Palmkernel Oil,Waste,27
Palmkernel Oil,Processing,10
Palmkernel Oil,Other uses,4254
Palmkernel Oil,Food,1826
Palmkernel Oil,Food supply quantity (kg/capita/yr),0.27
Palmkernel Oil,Food supply (kcal/capita/day),6
Palmkernel Oil,Protein supply quantity (g/capita/day),0
Palmkernel Oil,Fat supply quantity (g/capita/day),0.72
Palm Oil,Production,48520
Palm Oil,Import Quantity,40908
Palm Oil,Stock Variation,-383
Palm Oil,Export Quantity,45775
Palm Oil,Domestic supply quantity,43271
Palm Oil,Feed,0
Palm Oil,Waste,295
Palm Oil,Processing,26
Palm Oil,Other uses,28979
Palm Oil,Food,14613
Palm Oil,Food supply quantity (kg/capita/yr),2.13
Palm Oil,Food supply (kcal/capita/day),51
Palm Oil,Protein supply quantity (g/capita/day),0.01
Palm Oil,Fat supply quantity (g/capita/day),5.78
Coconut Oil,Production,3111
Coconut Oil,Import Quantity,2867
Coconut Oil,Stock Variation,-47
Coconut Oil,Export Quantity,2636
Coconut Oil,Domestic supply quantity,3295
Coconut Oil,Feed,
Coconut Oil,Waste,1
Coconut Oil,Processing,13
Coconut Oil,Other uses,1358
Coconut Oil,Food,2002
Coconut Oil,Food supply quantity (kg/capita/yr),0.29
Coconut Oil,Food supply (kcal/capita/day),7
Coconut Oil,Protein supply quantity (g/capita/day),0
Coconut Oil,Fat supply quantity (g/capita/day),0.79
Sesameseed Oil,Production,1094
Sesameseed Oil,Import Quantity,71
Sesameseed Oil,Stock Variation,-2
Sesameseed Oil,Export Quantity,73
Sesameseed Oil,Domestic supply quantity,1090
Sesameseed Oil,Feed,0
Sesameseed Oil,Waste,0
Sesameseed Oil,Processing,0
Sesameseed Oil,Other uses,316
Sesameseed Oil,Food,775
Sesameseed Oil,Food supply quantity (kg/capita/yr),0.11
Sesameseed Oil,Food supply (kcal/capita/day),3
Sesameseed Oil,Protein supply quantity (g/capita/day),0
Sesameseed Oil,Fat supply quantity (g/capita/day),0.31
Olive Oil,Production,3354
Olive Oil,Import Quantity,1863
Olive Oil,Stock Variation,-37
Olive Oil,Export Quantity,1758
Olive Oil,Domestic supply quantity,3422
Olive Oil,Feed,0
Olive Oil,Other uses,266
Olive Oil,Food,3162
Olive Oil,Food supply quantity (kg/capita/yr),0.46
Olive Oil,Food supply (kcal/capita/day),11
Olive Oil,Protein supply quantity (g/capita/day),0
Olive Oil,Fat supply quantity (g/capita/day),1.26
Ricebran Oil,Production,1082
Ricebran Oil,Import Quantity,37
Ricebran Oil,Stock Variation,-42
Ricebran Oil,Export Quantity,32
Ricebran Oil,Domestic supply quantity,1045
Ricebran Oil,Other uses,200
Ricebran Oil,Food,845
Ricebran Oil,Food supply quantity (kg/capita/yr),0.12
Ricebran Oil,Food supply (kcal/capita/day),3
Ricebran Oil,Protein supply quantity (g/capita/day),0
Ricebran Oil,Fat supply quantity (g/capita/day),0.34
Maize Germ Oil,Production,2331
